actual_2024,budget_2025,revised_2025,budget_2026,code,title,header,revenue_type
0,500000000,0,500000000,5561,.0Dividends from Non-Financial Public Enterprises,dividends and transfers,non-tax
4293467000,5000000000,7431548000,7803125000,5564,.0Bank of Guyana Profits,dividends and transfers,non-tax
0,2000000000,0,2000000000,5565,.0Special Trans from Statutory & Non Statutory Bodies,dividends and transfers,non-tax
329854298000,512436702000,512251661000,495048807000,5581,.0Natural Resource Fund Withdrawal,natural resources fund,non-tax
13036293000,41121959000,14013978000,49650632000,5591,.0Carbon Credit Inflows,carbon credit inflows,non-tax
0,0,0,1000,5613,.0Timehri-Miscellaneous Revenue,miscellaneous receipts,non-tax
0,1500000,0,0,5614,.0Prisons,miscellaneous receipts,non-tax
3806205000,2774177000,4468997000,5894637000,5616,.0Sundries,miscellaneous receipts,non-tax
0,140000,0,140000,5618,.0Sale of Empty Drums,miscellaneous receipts,non-tax
31680000,28229000,36927000,40129000,5619,Pensions Contribution of Legislators,miscellaneous receipts,non-tax
300000000,315000000,150000000,350000000,5621,Lottery Receipts,miscellaneous receipts,non-tax
4008709000,16280000000,7927286000,7787799000,5622,Guyana R.E.D.D. Investment Fund,miscellaneous receipts,non-tax
243888000,253638000,224059000,150865000,5623,Licences Miscellaneous -Other,miscellaneous receipts,non-tax
1897000,1992000,7776000,2092000,5624,Closure of  Bank Accounts,miscellaneous receipts,non-tax
27067000,28000000,71050000,75000000,5715,Sales of Assets,miscellaneous capital revenue,non-tax
41906000,0,0,0,5750,Germany - Guyana Protected Areas System,project grants,foreign grants
1436956000,4810000000,7826056000,720000000,5763,CDB,project grants,foreign grants
300090000,155000000,155000000,170000000,5765,Global Fund,project grants,foreign grants
150548000,606750000,419149000,630000000,5766,IDB,project grants,foreign grants
794007000,309490000,99440000,1023600000,5772,IDA/WORLD BANK,project grants,foreign grants
0,0,0,750000000,5775,China,project grants,foreign grants
0,46100000,15987000,0,5777,IFAD,project grants,foreign grants
42902000,207290000,128633000,77330000,5779,Kuwait,project grants,foreign grants
0,633734000,664618000,0,5769,Canada Project Grant,cash and commodity assistance grant,foreign grants
105603000,913320000,498873000,506444000,5782,EU,cash and commodity assistance grant,foreign grants
7175485000,12900000000,1807806000,15825000000,5811,CDB,project loans,foreign loans
26000000000,31807000000,23521073000,4549500000,5812,China,project loans,foreign loans
3540694000,3655000000,2270656000,10020000000,5813,IDA,project loans,foreign loans
8842250000,15012520000,8530053000,23120000000,5814,IDB,project loans,foreign loans
400000000,3942000,3597000,0,5815,IFAD,project loans,foreign loans
9221721000,15268695000,1415000000,9190825000,5818,India,project loans,foreign loans
0,150000000,0,900000000,5821,CDF,project loans,foreign loans
8107489000,9148500000,8849876000,13000000000,5822,Islamic Development Bank,project loans,foreign loans
